class_id,class_name,manufacturer,model,year,origin_country,body_type,horsepower,engine,0_to_60_mph_sec,top_speed_mph,transmission,avg_price_usd
1,AM General Hummer SUV 2000,AM General,Hummer,2000,USA,SUV,323,2.5L 4-Cylinder,6.1,132,Automatic,26296
2,Acura RL Sedan 2012,Acura,RL,2012,Japan,Sedan,529,1.8L 8-Cylinder,6.0,142,Automatic,56395
3,Acura TL Sedan 2012,Acura,TL,2012,Japan,Sedan,508,2.5L 12-Cylinder,5.9,185,Manual,48478
4,Acura TL Type-S 2008,Acura,TL Type-S,2008,Japan,Other,392,3.0L 4-Cylinder,6.4,150,Manual,45851
5,Acura TSX Sedan 2012,Acura,TSX,2012,Japan,Sedan,360,3.1L 6-Cylinder,4.8,164,Automatic,89118
6,Acura Integra Type R 2001,Acura,Integra Type R,2001,Japan,Other,385,6.1L 6-Cylinder,6.3,174,Automatic,50695
7,Acura ZDX Hatchback 2012,Acura,ZDX,2012,Japan,Hatchback,290,4.2L 4-Cylinder,5.2,180,Manual,117357
8,Aston Martin V8 Vantage Convertible 2012,Aston Martin,V8 Vantage,2012,United Kingdom,Convertible,546,5.6L 10-Cylinder,3.7,200,Automatic,1135874
9,Aston Martin V8 Vantage Coupe 2012,Aston Martin,V8 Vantage,2012,United Kingdom,Coupe,784,3.2L 8-Cylinder,3.5,236,Automatic,2081740
10,Aston Martin Virage Convertible 2012,Aston Martin,Virage,2012,United Kingdom,Convertible,1186,4.4L 12-Cylinder,3.6,199,Dual-Clutch,1299786
11,Aston Martin Virage Coupe 2012,Aston Martin,Virage,2012,United Kingdom,Coupe,750,4.7L 8-Cylinder,3.2,224,Dual-Clutch,865359
12,Audi RS 4 Convertible 2008,Audi,RS 4,2008,Germany,Convertible,416,3.3L 8-Cylinder,5.1,142,Manual,52331
13,Audi A5 Coupe 2012,Audi,A5,2012,Germany,Coupe,358,4.5L 6-Cylinder,6.7,160,Automatic,119341
14,Audi TTS Coupe 2012,Audi,TTS,2012,Germany,Coupe,484,5.0L 10-Cylinder,5.2,155,Manual,63726
15,Audi R8 Coupe 2012,Audi,R8,2012,Germany,Coupe,548,1.8L 8-Cylinder,5.4,148,Manual,97350
16,Audi V8 Sedan 1994,Audi,V8,1994,Germany,Sedan,306,4.3L 6-Cylinder,6.1,190,Manual,65033
17,Audi 100 Sedan 1994,Audi,100,1994,Germany,Sedan,445,4.7L 8-Cylinder,5.8,175,Automatic,106348
18,Audi 100 Wagon 1994,Audi,100,1994,Germany,Wagon,524,2.8L 8-Cylinder,6.4,161,Automatic,79973
19,Audi TT Hatchback 2011,Audi,TT,2011,Germany,Hatchback,482,6.1L 8-Cylinder,6.9,186,Manual,45425
20,Audi S6 Sedan 2011,Audi,S6,2011,Germany,Sedan,509,2.1L 8-Cylinder,6.7,159,Automatic,58947
21,Audi S5 Convertible 2012,Audi,S5,2012,Germany,Convertible,526,3.7L 8-Cylinder,6.8,178,Manual,114514
22,Audi S5 Coupe 2012,Audi,S5,2012,Germany,Coupe,435,1.8L 10-Cylinder,5.1,155,Automatic,85306
23,Audi S4 Sedan 2012,Audi,S4,2012,Germany,Sedan,285,5.9L 4-Cylinder,6.4,148,Manual,114822
24,Audi S4 Sedan 2007,Audi,S4,2007,Germany,Sedan,385,5.9L 4-Cylinder,6.7,167,Automatic,114163
25,Audi TT RS Coupe 2012,Audi,TT RS,2012,Germany,Coupe,409,3.5L 12-Cylinder,7.0,181,Manual,97296
26,BMW ActiveHybrid 5 Sedan 2012,BMW,ActiveHybrid 5,2012,Germany,Sedan,481,1.5L 12-Cylinder,5.1,144,Manual,60860
